district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category,total_filled,rural_filled,urban_filled,total_corrected,rural_corrected,urban_corrected
Kangra,Himachal Pradesh,24,2,28.2,27.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),28.2,27.7,0,28.2,27.7,0
Lahul and Spiti,Himachal Pradesh,25,2,23.4,23.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),23.4,23.4,0,23.4,23.4,0
Kullu,Himachal Pradesh,26,2,26.7,25.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),26.7,25.7,0,26.7,25.7,0
Mandi,Himachal Pradesh,27,2,23.9,23.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),23.9,23.4,0,23.9,23.4,0
Hamirpur,Himachal Pradesh,28,2,30.9,30.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),30.9,30.4,0,30.9,30.4,0
Una,Himachal Pradesh,29,2,37.5,37.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),37.5,37.3,0,37.5,37.3,0
Bilaspur,Himachal Pradesh,30,2,28.4,27.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),28.4,27.7,0,28.4,27.7,0
Solan,Himachal Pradesh,31,2,32.7,31.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),32.7,31.5,0,32.7,31.5,0
Sirmaur,Himachal Pradesh,32,2,25.2,23,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),25.2,23,0,25.2,23,0
Shimla,Himachal Pradesh,33,2,33.2,31.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),33.2,31.4,0,33.2,31.4,0
Kinnaur,Himachal Pradesh,34,2,27.6,27.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),27.6,27.6,0,27.6,27.6,0
Gurdaspur,Punjab,35,3,31.6,28.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.6,28.8,0,31.6,28.8,0
Kapurthala,Punjab,36,3,38.8,41.9,33.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),38.8,41.9,33.2,38.8,41.9,33.2
Jalandhar,Punjab,37,3,26.9,28.6,25.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),26.9,28.6,25.5,26.9,28.6,25.5
Hoshiarpur,Punjab,38,3,31.0,31.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.0,31.2,0,31.0,31.2,0
Sahid Bhagat Singh Nagar,Punjab,39,3,35.7,36,34.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.7,36,34.8,35.7,36,34.8
Fatehgarh Sahib,Punjab,40,3,41.0,40,43.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),41.0,40,43.4,41.0,40,43.4
Ludhiana,Punjab,41,3,35.5,38.1,33.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.5,38.1,33.8,35.5,38.1,33.8
Moga,Punjab,42,3,29.1,27.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),29.1,27.4,0,29.1,27.4,0
Firozpur,Punjab,43,3,27.5,25.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),27.5,25.8,0,27.5,25.8,0
Muktsar,Punjab,44,3,26.5,23.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),26.5,23.7,0,26.5,23.7,0
Faridkot,Punjab,45,3,24.5,26.6,18.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.5,26.6,18.4,24.5,26.6,18.4
Bathinda,Punjab,46,3,23.8,23.1,24.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),23.8,23.1,24.6,23.8,23.1,24.6
Mansa,Punjab,47,3,24.4,22.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.4,22.8,0,24.4,22.8,0
Patiala,Punjab,48,3,35.5,34.5,36.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.5,34.5,36.5,35.5,34.5,36.5
Amritsar,Punjab,49,3,30.3,30.1,30.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),30.3,30.1,30.6,30.3,30.1,30.6
Tarn Taran,Punjab,50,3,30.2,29.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),30.2,29.9,0,30.2,29.9,0
Rup Nagar,Punjab,51,3,43.6,42,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),43.6,42,0,43.6,42,0
Sahibzada Ajit Singh Nagar,Punjab,52,3,39.4,35.8,42.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),39.4,35.8,42.5,39.4,35.8,42.5
Sangrur,Punjab,53,3,30.3,28.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),30.3,28.8,0,30.3,28.8,0
Barnala,Punjab,54,3,32.4,31.8,33.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),32.4,31.8,33.5,32.4,31.8,33.5
Uttarkashi,Uttarakhand,56,5,11.5,10.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),11.5,10.3,0,11.5,10.3,0
Chamoli,Uttarakhand,57,5,16.6,12.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),16.6,12.9,0,16.6,12.9,0
Rudraprayag,Uttarakhand,58,5,12.4,11.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),12.4,11.4,0,12.4,11.4,0
Tehri Garhwal,Uttarakhand,59,5,5.3,4.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),5.3,4.5,0,5.3,4.5,0
Dehradun,Uttarakhand,60,5,24.4,24.4,24.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.4,24.4,24.4,24.4,24.4,24.4
Garhwal,Uttarakhand,61,5,17.5,16.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.5,16.6,0,17.5,16.6,0
Pithoragarh,Uttarakhand,62,5,19.0,14.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.0,14.9,0,19.0,14.9,0
Bageshwar,Uttarakhand,63,5,10.2,9.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.2,9.7,0,10.2,9.7,0
Almora,Uttarakhand,64,5,9.2,7.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),9.2,7.7,0,9.2,7.7,0
Champawat,Uttarakhand,65,5,17.1,13.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.1,13.6,0,17.1,13.6,0
Nainital,Uttarakhand,66,5,27.2,23.5,32,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),27.2,23.5,32,27.2,23.5,32
Udham Singh Nagar,Uttarakhand,67,5,24.8,20.1,32.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.8,20.1,32.3,24.8,20.1,32.3
Hardwar,Uttarakhand,68,5,24.0,17.3,32.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),24.0,17.3,32.5,24.0,17.3,32.5
Panchkula,Haryana,69,6,22.9,21,24,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),22.9,21,24,22.9,21,24
Ambala,Haryana,70,6,12.7,13.3,12.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),12.7,13.3,12.1,12.7,13.3,12.1
Yamunanagar,Haryana,71,6,19.0,17.9,20.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.0,17.9,20.8,19.0,17.9,20.8
Kurukshetra,Haryana,72,6,19.6,19.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.6,19.5,0,19.6,19.5,0
Kaithal,Haryana,73,6,25.3,22,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),25.3,22,0,25.3,22,0
Karnal,Haryana,74,6,26.3,23,33.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),26.3,23,33.7,26.3,23,33.7
Panipat,Haryana,75,6,25.8,24.9,26.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),25.8,24.9,26.6,25.8,24.9,26.6
Sonipat,Haryana,76,6,31.3,32.8,28.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.3,32.8,28.2,31.3,32.8,28.2
Jind,Haryana,77,6,17.5,15.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.5,15.8,0,17.5,15.8,0
Fatehabad,Haryana,78,6,15.1,13.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),15.1,13.5,0,15.1,13.5,0
Sirsa,Haryana,79,6,23.0,19,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),23.0,19,0,23.0,19,0
Hisar,Haryana,80,6,17.8,15.6,22.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.8,15.6,22.3,17.8,15.6,22.3
Bhiwani,Haryana,81,6,22.1,19.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),22.1,19.1,0,22.1,19.1,0
Rohtak,Haryana,82,6,21.6,19.2,24.9,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),21.6,19.2,24.9,21.6,19.2,24.9
Jhajjar,Haryana,83,6,21.6,23.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),21.6,23.5,0,21.6,23.5,0
Mahendragarh,Haryana,84,6,14.4,14.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.4,14.5,0,14.4,14.5,0
Rewari,Haryana,85,6,20.1,19.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.1,19.8,0,20.1,19.8,0
Gurgaon,Haryana,86,6,20.2,20.1,20.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.2,20.1,20.2,20.2,20.1,20.2
Mewat,Haryana,87,6,12.2,9.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),12.2,9.2,0,12.2,9.2,0
Faridabad,Haryana,88,6,23.7,,25,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),23.7,0,25,23.7,0,25
Palwal,Haryana,89,6,19.1,11.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.1,11.8,0,19.1,11.8,0
North West,NCT Delhi,90,7,36.4,,36.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),36.4,0,36.6,36.4,0,36.6
North,NCT Delhi,91,7,38.5,,38.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),38.5,0,38.4,38.5,0,38.4
North East,NCT Delhi,92,7,31.2,,31.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),31.2,0,31.2,31.2,0,31.2
East,NCT Delhi,93,7,43.7,,43.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),43.7,0,43.7,43.7,0,43.7
New Delhi,NCT Delhi,94,7,27.3,,27.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),27.3,0,27.3,27.3,0,27.3
Central,NCT Delhi,95,7,35.6,,35.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.6,0,35.6,35.6,0,35.6
West,NCT Delhi,96,7,33.6,,33.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),33.6,0,33.6,33.6,0,33.6
South West,NCT Delhi,97,7,35.1,,35.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),35.1,0,35.2,35.1,0,35.2
South,NCT Delhi,98,7,32.5,,32.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),32.5,0,32.5,32.5,0,32.5
Ganganagar,Rajasthan,99,8,20.5,19,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.5,19,0,20.5,19,0
Hanumangarh,Rajasthan,100,8,14.8,13.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.8,13.2,0,14.8,13.2,0
Bikaner,Rajasthan,101,8,15.4,10.7,22.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),15.4,10.7,22.4,15.4,10.7,22.4
Churu,Rajasthan,102,8,13.5,11.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),13.5,11.9,0,13.5,11.9,0
Jhunjhunun,Rajasthan,103,8,17.3,16.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.3,16.1,0,17.3,16.1,0
Alwar,Rajasthan,104,8,13.0,10.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),13.0,10.9,0,13.0,10.9,0
Bharatpur,Rajasthan,105,8,14.4,12.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.4,12.1,0,14.4,12.1,0
Dhaulpur,Rajasthan,106,8,10.3,6.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.3,6.3,0,10.3,6.3,0
Karauli,Rajasthan,107,8,10.2,8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.2,8,0,10.2,8,0
Sawai Madhopur,Rajasthan,108,8,11.2,9.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),11.2,9.7,0,11.2,9.7,0
Dausa,Rajasthan,109,8,10.2,8.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.2,8.2,0,10.2,8.2,0
Jaipur,Rajasthan,110,8,17.4,12,22.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.4,12,22.8,17.4,12,22.8
Sikar,Rajasthan,111,8,18.4,14.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),18.4,14.8,0,18.4,14.8,0
Nagaur,Rajasthan,112,8,14.1,11.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.1,11.7,0,14.1,11.7,0
Jodhpur,Rajasthan,113,8,18.3,13.9,26.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),18.3,13.9,26.1,18.3,13.9,26.1
Jaisalmer,Rajasthan,114,8,12.8,10.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),12.8,10.5,0,12.8,10.5,0
Barmer,Rajasthan,115,8,11.7,9.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),11.7,9.8,0,11.7,9.8,0
Jalor,Rajasthan,116,8,9.3,8.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),9.3,8.2,0,9.3,8.2,0
Sirohi,Rajasthan,117,8,10.1,7.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.1,7.1,0,10.1,7.1,0
Pali,Rajasthan,118,8,14.5,11.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.5,11.2,0,14.5,11.2,0
Ajmer,Rajasthan,119,8,16.8,11.6,25,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),16.8,11.6,25,16.8,11.6,25
Tonk,Rajasthan,120,8,10.5,7.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.5,7.4,0,10.5,7.4,0
Bundi,Rajasthan,121,8,10.9,7.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.9,7.3,0,10.9,7.3,0
Bhilwara,Rajasthan,122,8,14.1,12.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),14.1,12.3,0,14.1,12.3,0
Rajsamand,Rajasthan,123,8,12.5,11.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),12.5,11.1,0,12.5,11.1,0
Dungarpur,Rajasthan,124,8,6.2,4.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),6.2,4.7,0,6.2,4.7,0
Banswara,Rajasthan,125,8,9.0,7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),9.0,7,0,9.0,7,0
Chittaurgarh,Rajasthan,126,8,17.6,13.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.6,13.9,0,17.6,13.9,0
Kota,Rajasthan,127,8,20.6,11.6,26.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.6,11.6,26.1,20.6,11.6,26.1
Baran,Rajasthan,128,8,9.7,7.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),9.7,7.6,0,9.7,7.6,0
Jhalawar,Rajasthan,129,8,8.6,7.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),8.6,7.2,0,8.6,7.2,0
Udaipur,Rajasthan,130,8,10.4,5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),10.4,5,0,10.4,5,0
Pratapgarh,Rajasthan,131,8,7.8,5.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),7.8,5.9,0,7.8,5.9,0
Saharanpur,Uttar Pradesh,132,9,19.7,13.6,32.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),19.7,13.6,32.7,19.7,13.6,32.7
Muzaffarnagar,Uttar Pradesh,133,9,21.7,19.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),21.7,19.1,0,21.7,19.1,0
Bijnor,Uttar Pradesh,134,9,20.1,17.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),20.1,17.1,0,20.1,17.1,0
Moradabad,Uttar Pradesh,135,9,17.8,11.7,28.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),17.8,11.7,28.2,17.8,11.7,28.2
Rampur,Uttar Pradesh,136,9,16.0,12.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),16.0,12.3,0,16.0,12.3,0
Jyotiba Phule Nagar,Uttar Pradesh,137,9,16.9,13.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),16.9,13.7,0,16.9,13.7,0
Meerut,Uttar Pradesh,138,9,29.9,22.3,33.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years),29.9,22.3,33.4,29.9,22.3,33.4
