district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category
Udhampur,Jammu & Kashmir,19,1,20.3,16.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Reasi,Jammu & Kashmir,20,1,16.5,15.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jammu,Jammu & Kashmir,21,1,36.9,29.6,45,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Samba,Jammu & Kashmir,22,1,35.3,34.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chamba,Himachal Pradesh,23,2,20.8,18.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kangra,Himachal Pradesh,24,2,28.2,27.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Lahul and Spiti,Himachal Pradesh,25,2,23.4,23.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kullu,Himachal Pradesh,26,2,26.7,25.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mandi,Himachal Pradesh,27,2,23.9,23.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hamirpur,Himachal Pradesh,28,2,30.9,30.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Una,Himachal Pradesh,29,2,37.5,37.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bilaspur,Himachal Pradesh,30,2,28.4,27.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Solan,Himachal Pradesh,31,2,32.7,31.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sirmaur,Himachal Pradesh,32,2,25.2,23,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Shimla,Himachal Pradesh,33,2,33.2,31.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kinnaur,Himachal Pradesh,34,2,27.6,27.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Gurdaspur,Punjab,35,3,31.6,28.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kapurthala,Punjab,36,3,38.8,41.9,33.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jalandhar,Punjab,37,3,26.9,28.6,25.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hoshiarpur,Punjab,38,3,31,31.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sahid Bhagat Singh Nagar,Punjab,39,3,35.7,36,34.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Fatehgarh Sahib,Punjab,40,3,41,40,43.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ludhiana,Punjab,41,3,35.5,38.1,33.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Moga,Punjab,42,3,29.1,27.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Firozpur,Punjab,43,3,27.5,25.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Muktsar,Punjab,44,3,26.5,23.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Faridkot,Punjab,45,3,24.5,26.6,18.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bathinda,Punjab,46,3,23.8,23.1,24.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mansa,Punjab,47,3,24.4,22.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Patiala,Punjab,48,3,35.5,34.5,36.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Amritsar,Punjab,49,3,30.3,30.1,30.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tarn Taran,Punjab,50,3,30.2,29.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rup Nagar,Punjab,51,3,43.6,42,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sahibzada Ajit Singh Nagar,Punjab,52,3,39.4,35.8,42.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sangrur,Punjab,53,3,30.3,28.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Barnala,Punjab,54,3,32.4,31.8,33.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Uttarkashi,Uttarakhand,56,5,11.5,10.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chamoli,Uttarakhand,57,5,16.6,12.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rudraprayag,Uttarakhand,58,5,12.4,11.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tehri Garhwal,Uttarakhand,59,5,5.3,4.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dehradun,Uttarakhand,60,5,24.4,24.4,24.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Garhwal,Uttarakhand,61,5,17.5,16.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pithoragarh,Uttarakhand,62,5,19,14.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bageshwar,Uttarakhand,63,5,10.2,9.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Almora,Uttarakhand,64,5,9.2,7.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Champawat,Uttarakhand,65,5,17.1,13.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Nainital,Uttarakhand,66,5,27.2,23.5,32,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Udham Singh Nagar,Uttarakhand,67,5,24.8,20.1,32.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hardwar,Uttarakhand,68,5,24,17.3,32.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Panchkula,Haryana,69,6,22.9,21,24,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ambala,Haryana,70,6,12.7,13.3,12.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Yamunanagar,Haryana,71,6,19,17.9,20.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kurukshetra,Haryana,72,6,19.6,19.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kaithal,Haryana,73,6,25.3,22,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Karnal,Haryana,74,6,26.3,23,33.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Panipat,Haryana,75,6,25.8,24.9,26.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sonipat,Haryana,76,6,31.3,32.8,28.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jind,Haryana,77,6,17.5,15.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Fatehabad,Haryana,78,6,15.1,13.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sirsa,Haryana,79,6,23,19,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hisar,Haryana,80,6,17.8,15.6,22.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bhiwani,Haryana,81,6,22.1,19.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rohtak,Haryana,82,6,21.6,19.2,24.9,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jhajjar,Haryana,83,6,21.6,23.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mahendragarh,Haryana,84,6,14.4,14.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rewari,Haryana,85,6,20.1,19.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Gurgaon,Haryana,86,6,20.2,20.1,20.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mewat,Haryana,87,6,12.2,9.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Faridabad,Haryana,88,6,23.7,,25,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Palwal,Haryana,89,6,19.1,11.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
North West,NCT Delhi,90,7,36.4,,36.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
North,NCT Delhi,91,7,38.5,,38.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
North East,NCT Delhi,92,7,31.2,,31.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
East,NCT Delhi,93,7,43.7,,43.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
New Delhi,NCT Delhi,94,7,27.3,,27.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Central,NCT Delhi,95,7,35.6,,35.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
West,NCT Delhi,96,7,33.6,,33.6,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
South West,NCT Delhi,97,7,35.1,,35.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
South,NCT Delhi,98,7,32.5,,32.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ganganagar,Rajasthan,99,8,20.5,19,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hanumangarh,Rajasthan,100,8,14.8,13.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bikaner,Rajasthan,101,8,15.4,10.7,22.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Churu,Rajasthan,102,8,13.5,11.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jhunjhunun,Rajasthan,103,8,17.3,16.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Alwar,Rajasthan,104,8,13,10.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bharatpur,Rajasthan,105,8,14.4,12.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dhaulpur,Rajasthan,106,8,10.3,6.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Karauli,Rajasthan,107,8,10.2,8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sawai Madhopur,Rajasthan,108,8,11.2,9.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dausa,Rajasthan,109,8,10.2,8.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jaipur,Rajasthan,110,8,17.4,12,22.8,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sikar,Rajasthan,111,8,18.4,14.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Nagaur,Rajasthan,112,8,14.1,11.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jodhpur,Rajasthan,113,8,18.3,13.9,26.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jaisalmer,Rajasthan,114,8,12.8,10.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Barmer,Rajasthan,115,8,11.7,9.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jalor,Rajasthan,116,8,9.3,8.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sirohi,Rajasthan,117,8,10.1,7.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pali,Rajasthan,118,8,14.5,11.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ajmer,Rajasthan,119,8,16.8,11.6,25,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tonk,Rajasthan,120,8,10.5,7.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bundi,Rajasthan,121,8,10.9,7.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bhilwara,Rajasthan,122,8,14.1,12.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rajsamand,Rajasthan,123,8,12.5,11.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dungarpur,Rajasthan,124,8,6.2,4.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Banswara,Rajasthan,125,8,9,7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chittaurgarh,Rajasthan,126,8,17.6,13.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kota,Rajasthan,127,8,20.6,11.6,26.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Baran,Rajasthan,128,8,9.7,7.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jhalawar,Rajasthan,129,8,8.6,7.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Udaipur,Rajasthan,130,8,10.4,5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pratapgarh,Rajasthan,131,8,7.8,5.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Saharanpur,Uttar Pradesh,132,9,19.7,13.6,32.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Muzaffarnagar,Uttar Pradesh,133,9,21.7,19.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bijnor,Uttar Pradesh,134,9,20.1,17.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Moradabad,Uttar Pradesh,135,9,17.8,11.7,28.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rampur,Uttar Pradesh,136,9,16,12.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jyotiba Phule Nagar,Uttar Pradesh,137,9,16.9,13.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Meerut,Uttar Pradesh,138,9,29.9,22.3,33.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Baghpat,Uttar Pradesh,139,9,27,23.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ghaziabad,Uttar Pradesh,140,9,30.2,25,32.1,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Gautam Buddha Nagar,Uttar Pradesh,141,9,29.8,25.5,31.9,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bulandshahr,Uttar Pradesh,142,9,19.3,15.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Aligarh,Uttar Pradesh,143,9,18.7,13.6,27.5,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mahamaya Nagar,Uttar Pradesh,144,9,20,14.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mathura,Uttar Pradesh,145,9,22.3,16.8,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Agra,Uttar Pradesh,146,9,21.5,12.2,30.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Firozabad,Uttar Pradesh,147,9,15.6,10.1,24.2,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mainpuri,Uttar Pradesh,148,9,14.3,12.6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Budaun,Uttar Pradesh,149,9,14.2,9.3,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bareilly,Uttar Pradesh,150,9,20.9,15.7,28.3,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pilibhit,Uttar Pradesh,151,9,15.2,13.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Shahjahanpur,Uttar Pradesh,152,9,17,14.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kheri,Uttar Pradesh,153,9,8.5,7.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sitapur,Uttar Pradesh,154,9,9.6,7.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hardoi,Uttar Pradesh,155,9,12.2,9.2,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Unnao,Uttar Pradesh,156,9,13.2,11,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Lucknow,Uttar Pradesh,157,9,22.5,10.5,28,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Rae Bareli,Uttar Pradesh,158,9,11,9.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Farrukhabad,Uttar Pradesh,159,9,15.3,11.9,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kannauj,Uttar Pradesh,160,9,13.5,11.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Etawah,Uttar Pradesh,161,9,18.5,15.7,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Auraiya,Uttar Pradesh,162,9,11.8,9.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kanpur Dehat,Uttar Pradesh,163,9,11.5,10.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kanpur Nagar,Uttar Pradesh,164,9,16.9,10.4,19.4,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jalaun,Uttar Pradesh,165,9,11.2,9.1,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Jhansi,Uttar Pradesh,166,9,16,9.6,23.7,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Lalitpur,Uttar Pradesh,167,9,8.3,6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hamirpur,Uttar Pradesh,168,9,6.7,4.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mahoba,Uttar Pradesh,169,9,8.6,6.5,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Banda,Uttar Pradesh,170,9,8.3,6.4,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chitrakoot,Uttar Pradesh,171,9,7.3,6,,74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
